BusinessID,Cuisine,Rating,NumberOfReviews
sCC7-hSdCkNPExejZT9BAQ,"['Indian', 'Pakistani']",4.5,1331
izRJeBfDQYJmd6ibIQ6Mfg,['Indian'],4.5,391
1_pK5aQ47atF50oAKHADhA,['Indian'],4.5,473
HEs6llkn3wIP1ATXeIZQew,['Indian'],4.0,667
ZikqL-flwV2XYlKtL2UfmA,"['Indian', 'Desserts', 'Seafood']",4.5,364
15svH3HiVDwHMSIlRYpk6A,['Indian'],4.5,228
9pMhRYYgV7E9L7pzECtJKA,"['Indian', 'Cocktail Bars']",4.5,869
NgD-6ogFGc_c4z5_Ur4k2g,"['Indian', 'Buffets']",3.5,1440
_7BGw3YFNOTzP1Www3zB7g,['Indian'],4.5,273
7DUPGtHqVZHJ3yIufbWLsg,['Indian'],4.0,522
V2A9Leycc5_FEpgQC34i7Q,['Indian'],4.0,263
XKy4Cy4uNgO7rxhH4yFJQQ,['Indian'],4.0,334
CO3lm5309asRY7XG5eXNgg,"['Indian', 'Breakfast & Brunch', 'Cocktail Bars']",4.5,329
kS2CP48K66yL2TwIhUqy_A,['Indian'],4.0,826
9heTBCW1DDAKyO0GrY3Nxw,"['Indian', 'Buffets']",4.0,141
_z2_1TE_1brlvljiGtJ4mA,['Indian'],4.0,254
wm10mMj_41_-l_gRhRH3TA,['Indian'],4.0,405
lP8uDU4oNEkPD8-Ik-PvQQ,['Indian'],3.5,280
jJYQJGygWjIX6_0MiIoJRQ,['Indian'],4.5,90
iXSuNKKUBIrBX7zUerlQDQ,['Indian'],4.0,416
2LFYEpREb8A0gr-rQSrnXA,"['Indian', 'Buffets', 'Cocktail Bars']",4.0,276
FvnExtQHPfz_crDCBTQ1iQ,"['Indian', 'Halal']",4.0,282
zVLG_O3AQnvQ53PSJ5mTMA,['Indian'],4.0,461
yKQZqmCbk3EkGC5ajHgEGg,['Indian'],4.0,477
3dZsX3mqbVsLEXPwMYKPsw,['Indian'],4.5,79
7USPKYeaAfxl0Ch9j_1l7A,['Indian'],4.0,429
m5Whyz8O8jM4DrE808h71g,"['Indian', 'Buffets', 'Bars']",4.0,496
QqrEF8_ZQCGi63cL10J5oA,"['Indian', 'Buffets']",4.0,560
sCHiXF4mZcsiY8_cBHNiqw,['Indian'],4.0,669
dOQjniOt57mI9l9CmrCSJQ,['Indian'],4.5,105
6NcU2JAznLr9dDHp6GgQyw,"['Indian', 'Vegetarian']",4.5,217
ut-560tVcs2g-ZU0Y_qqHQ,"['Indian', 'Vegetarian']",4.5,95
T1CRoZ-f-hwrjdkBvt7_kg,['Indian'],4.0,132
RdETxi25tbocKIcMiW5TxQ,"['Indian', 'Buffets', 'Bars']",4.0,518
V2oWqXcoJkgGeIPOaS9eDA,"['Indian', 'Pakistani']",4.0,519
iYh7mB7PDd5ZvZZ4lFPF1w,['Indian'],4.5,92
z2VXX7wGl8XZ6_oo9W3koA,['Indian'],4.0,239
A-ert0jDRBfku9ogyW_mEg,"['Chinese', 'Indian', 'Breakfast & Brunch']",4.5,346
50eKjWOB-H9iuo1ocACOaQ,"['Indian', 'Tapas/Small Plates']",4.5,150
2jHud9AFiBYLrPlmz0UyqA,['Indian'],5.0,5
3N3XesISm5tg_nsjL10eFA,['Indian'],4.0,199
ZrdTKStTAo2pchslOev1KQ,"['Indian', 'Vegetarian']",4.0,724
FXDMFBM-rV2s5MHzA33d2g,['Indian'],4.0,208
JSX6Pk56w4BhgO8eSvCrKg,"['Indian', 'Bars', 'Tapas/Small Plates']",4.0,217
jYhbUh1TV7SCfPxjIhVpcg,"['Gastropubs', 'Indian', 'Breakfast & Brunch']",4.0,424
N7pDKAFOR1F_oCVH_Fc7Wg,"['Indian', 'Vegetarian', 'Kosher']",4.0,233
S6r0P0PItA9EYHV1nCiQgg,"['Food Trucks', 'Indian']",4.5,347
_R6EjbrynW_LFnmWoRqgww,"['Indian', 'Cocktail Bars', 'Wine Bars']",4.0,185
eTzH9lmkmouNlmuJ77i8Ow,['Indian'],4.5,38
guwS_mhhUjOT5d8sYfEluQ,"['Indian', 'Vegetarian']",4.0,294
